name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,RestaurantsTakeOut,RestaurantsDelivery,BusinessAcceptsCreditCards,RestaurantsPriceRange2,OutdoorSeating,RestaurantsReservations,HasTV,RestaurantsGoodForGroups,GoodForKids,Alcohol,RestaurantsAttire,WiFi,NoiseLevel,BikeParking,Caters,has_parking,Mondayhour,Tuesdayhour,Wednesdayhour,Thursdayhour,Fridayhour,Saturdayhour,Sundayhour
St Honore Pastries,935 Race St,Philadelphia,PA,19107,39.9555052,-75.1555641,4,80,1,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",TRUE,FALSE,FALSE,1,FALSE,,,,,none,,free,,TRUE,TRUE,TRUE,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-21:0,7:0-21:0,7:0-21:0
Bar One,767 S 9th St,Philadelphia,PA,19147,39.93982457,-75.15744656,4,65,0,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,full_bar,casual,free,average,TRUE,FALSE,TRUE,16:0-0:0,16:0-0:0,16:0-0:0,12:0-0:0,12:0-2:0,11:0-2:0,11:0-0:0
DeSandro on Main,4105 Main St,Philadelphia,PA,19127,40.0224662,-75.218314,3,41,0,"Pizza, Restaurants, Salad, Soup",TRUE,TRUE,TRUE,1,TRUE,FALSE,TRUE,TRUE,TRUE,none,casual,no,average,TRUE,FALSE,FALSE,,17:0-21:30,17:0-1:30,17:0-1:30,17:0-0:30,17:0-0:30,17:0-21:30
Ardmore Pizza,10 Rittenhouse Pl,Ardmore,PA,19003,40.0067071,-75.289671,3.5,109,1,"Pizza, Restaurants",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,average,TRUE,TRUE,TRUE,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:0,11:0-1:0,11:0-0:0
Craft Hall,901 N Delaware Ave,Philadelphia,PA,19123,39.9625821,-75.1356571,3.5,65,1,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",TRUE,TRUE,TRUE,2,TRUE,,TRUE,,TRUE,,,,,,,TRUE,0:0-0:0,,16:0-22:0,16:0-22:0,16:0-19:0,11:0-23:0,11:0-20:0
Cheeseburger In Paradise,116 N Pottstown Pike,Exton,PA,19341,40.029962,-75.630607,2.5,20,0,"Restaurants, Burgers",TRUE,FALSE,TRUE,2,TRUE,,TRUE,TRUE,TRUE,full_bar,casual,free,average,,,TRUE,,,,,,,
Core de Roma,201 Jefferson St,Bala Cynwyd,PA,19004,40.0283575,-75.2380841,5,12,1,"Restaurants, Italian",None,None,,,,,,,,,,,,,,TRUE,,15:0-20:30,15:0-20:30,15:0-20:30,15:0-20:30,15:0-20:30,15:0-20:30
Doc Magrogans Oyster House - West Chester,117 E Gay St,West Chester,PA,19380,39.9615417,-75.6036042,3,114,0,"Seafood, Restaurants, Bars, Nightlife, Cocktail Bars, American (New), Pubs",TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,no,average,TRUE,FALSE,TRUE,,,,,,,
39 North Taproom & Grill,110 S MacDade Blvd,Glenolden,PA,19036,39.90369689,-75.29498124,4.5,25,1,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife, Steakhouses, Salad, Beer Bar",TRUE,TRUE,TRUE,,None,FALSE,TRUE,,,full_bar,,free,,TRUE,TRUE,TRUE,0:0-0:0,11:0-0:0,11:0-1:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-23:0
Wawa,3604 Chestnut St,Philadelphia,PA,19104,39.954573,-75.1948936,3,56,1,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,free,average,TRUE,FALSE,TRUE,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
